time,CPU
1621005713,38.2
1621005714,38.2
1621005715,10.5
1621005716,20.5
1621005717,48.0
1621005718,30.6
1621005719,7.5
1621005720,7.5
1621005721,4.5
1621005722,19.9
1621005723,4.2
1621005724,4.5
1621005725,4.4
1621005726,14.8
1621005727,45.0
1621005728,58.4
1621005729,12.7
1621005730,6.2
1621005731,5.2
1621005732,4.3
1621005733,5.2
1621005734,5.3
1621005735,4.7
1621005736,3.3
1621005737,27.0
1621005738,39.7
1621005739,12.3
1621005740,5.7
1621005741,13.4
1621005742,62.8
1621005743,43.4
1621005744,7.5
1621005745,5.2
1621005746,43.5
1621005747,19.3
1621005748,36.7
1621005749,27.4
1621005750,9.2
1621005751,7.2
1621005752,4.5
1621005753,4.0
1621005754,4.2
1621005755,3.5
1621005756,10.5
1621005757,54.9
1621005758,15.3
1621005759,39.2
1621005760,11.5
1621005761,6.7
1621005762,8.2
1621005763,3.7
1621005764,4.5
1621005765,3.5
1621005766,4.0
1621005767,3.7
1621005768,3.7
1621005769,27.7
1621005770,35.3
1621005771,48.3
1621005772,18.2
1621005773,6.7
1621005774,14.9
1621005775,20.0
1621005776,9.5
1621005777,32.2
1621005778,29.4
1621005779,10.8
1621005780,48.0
1621005781,29.6
1621005782,49.5
1621005783,56.4
1621005784,45.4
1621005785,51.7
1621005786,55.7
1621005787,58.7
1621005788,58.1
1621005789,67.3
1621005790,65.2
1621005791,77.0
1621005792,80.6
1621005793,77.2
1621005794,71.1
1621005795,61.5
1621005796,69.4
1621005797,60.8
1621005798,61.7
1621005799,73.8
1621005800,66.0
1621005801,64.4
1621005802,64.2
1621005803,80.7
1621005804,81.3
1621005805,71.1
1621005806,64.1
1621005807,58.0
1621005808,60.5
1621005809,65.8
1621005810,65.0
1621005811,63.0
1621005812,80.3
1621005813,70.1
1621005814,63.4
1621005815,64.8
1621005816,65.9
1621005817,58.6
1621005818,63.8
1621005819,60.3
1621005820,58.1
1621005821,66.5
1621005822,74.7
1621005823,74.7
1621005824,64.4
1621005825,65.3
1621005826,62.3
1621005827,76.4
1621005828,63.3
1621005829,62.0
1621005830,56.5
1621005831,56.2
1621005832,79.7
1621005833,73.5
1621005834,66.4
1621005835,62.9
1621005836,63.5
1621005837,62.5
1621005838,79.6
1621005839,69.0
1621005840,60.4
