time,CPU
19:12:05,12.25
19:12:06,31.79
19:12:07,28.16
19:12:08,16.1
19:12:09,33.29
19:12:10,40.65
19:12:11,3.88
19:12:12,6.78
19:12:13,35.67
19:12:14,16.1
19:12:15,8.81
19:12:16,38.31
19:12:17,14.02
19:12:18,6.68
19:12:19,37.22
19:12:20,15.66
19:12:21,5.42
19:12:22,35.62
19:12:23,17.99
19:12:24,6.63
19:12:25,38.6
19:12:26,13.28
19:12:27,5.29
19:12:28,37.08
19:12:29,14.38
19:12:30,7.28
19:12:31,35.55
19:12:32,14.16
19:12:33,5.91
19:12:34,35.77
19:12:35,15.32
19:12:36,6.2
19:12:37,36.42
19:12:38,13.19
19:12:39,6.53
19:12:40,37.02
19:12:41,14.18
19:12:42,5.79
19:12:43,35.09
19:12:44,13.53
19:12:45,5.55
19:12:46,38.28
19:12:47,13.46
19:12:48,5.55
19:12:49,35.83
19:12:50,15.24
19:12:51,6.79
19:12:52,36.09
19:12:53,14.48
19:12:54,5.88
19:12:55,44.84
19:12:56,31.78
19:12:57,19.77
19:12:58,47.8
19:12:59,26.94
19:13:00,18.57
19:13:01,49.56
19:13:02,38.42
19:13:03,17.04
19:13:04,15.11
19:13:05,14.04
19:13:06,15.04
19:13:07,14.18
19:13:08,14.02
19:13:09,13.57
19:13:10,14.02
19:13:11,15.85
19:13:12,13.68
19:13:13,14.68
19:13:14,14.32
19:13:15,13.68
19:13:16,15.64
19:13:17,14.04
19:13:18,13.82
19:13:19,14.02
19:13:20,13.18
19:13:21,14.45
19:13:22,15.09
19:13:23,13.71
19:13:24,13.55
19:13:25,13.62
19:13:26,14.02
19:13:27,15.89
19:13:28,14.45
19:13:29,13.82
19:13:30,13.48
19:13:31,13.58
19:13:32,15.89
19:13:33,13.88
19:13:34,13.68
19:13:35,14.77
19:13:36,13.66
19:13:37,15.49
19:13:38,13.69
19:13:39,13.48
19:13:40,13.69
19:13:41,14.29
19:13:42,15.99
19:13:43,13.57
19:13:44,13.84
19:13:45,13.44
19:13:46,13.96
19:13:47,16.56
19:13:48,13.55
19:13:49,13.96
19:13:50,14.5
19:13:51,13.68
19:13:52,16.5
19:13:53,14.16
19:13:54,13.68
19:13:55,13.88
19:13:56,14.47
19:13:57,15.43
19:13:58,16.33
19:13:59,14.11
19:14:00,14.05
