time,CPU
14:48:50,34.66
14:48:51,20.88
14:48:52,19.85
14:48:53,26.84
14:48:54,1.64
14:48:55,2.9
14:48:56,2.39
14:48:57,1.51
14:48:58,1.75
14:48:59,1.51
14:49:00,4.02
14:49:01,1.38
14:49:02,2.14
14:49:03,1.01
14:49:04,1.76
14:49:05,1.39
14:49:06,3.02
14:49:07,1.88
14:49:08,1.89
14:49:09,1.01
14:49:10,1.26
14:49:11,3.52
14:49:12,1.13
14:49:13,1.26
14:49:14,2.88
14:49:15,2.63
14:49:16,3.26
14:49:17,2.13
14:49:18,2.13
14:49:19,1.25
14:49:20,2.25
14:49:21,3.88
14:49:22,0.88
14:49:23,1.64
14:49:24,2.48
14:49:25,1.39
14:49:26,3.16
14:49:27,1.26
14:49:28,2.14
14:49:29,2.25
14:49:30,1.01
14:49:31,3.02
14:49:32,1.89
14:49:33,1.01
14:49:34,1.5
14:49:35,4.64
14:49:36,2.51
14:49:37,1.63
14:49:38,2.01
14:49:39,1.76
14:49:40,0.88
14:49:41,3.15
14:49:42,1.51
14:49:43,1.75
14:49:44,2.5
14:49:45,1.26
14:49:46,2.64
14:49:47,2.02
14:49:48,2.4
14:49:49,1.64
14:49:50,2.0
14:49:51,1.88
14:49:52,3.27
14:49:53,2.38
14:49:54,1.01
14:49:55,1.38
14:49:56,2.14
14:49:57,3.28
14:49:58,1.13
14:49:59,1.76
14:50:00,2.39
14:50:01,1.13
14:50:02,2.77
14:50:03,3.02
14:50:04,1.75
14:50:05,1.75
14:50:06,2.63
14:50:07,3.52
14:50:08,1.38
14:50:09,2.01
14:50:10,2.14
14:50:11,1.01
14:50:12,3.27
14:50:13,1.75
14:50:14,2.13
14:50:15,1.39
14:50:16,0.76
14:50:17,3.77
14:50:18,1.14
14:50:19,13.21
14:50:20,16.38
14:50:21,13.65
14:50:22,15.09
14:50:23,14.02
14:50:24,14.21
14:50:25,13.68
14:50:26,13.68
14:50:27,16.15
14:50:28,14.16
14:50:29,14.02
14:50:30,13.94
14:50:31,14.05
14:50:32,13.46
14:50:33,15.79
14:50:34,13.46
14:50:35,13.75
14:50:36,16.12
14:50:37,13.68
14:50:38,15.88
14:50:39,13.98
14:50:40,13.77
14:50:41,13.68
14:50:42,13.73
14:50:43,15.86
14:50:44,13.84
14:50:45,14.02
14:50:46,13.44
14:50:47,13.78
14:50:48,15.81
14:50:49,13.82
14:50:50,13.69
14:50:51,14.04
14:50:52,14.39
14:50:53,15.13
14:50:54,4.04
14:50:55,1.01
14:50:56,2.01
14:50:57,1.76
14:50:58,3.25
14:50:59,2.02
14:51:00,2.13
14:51:01,1.5
14:51:02,1.26
14:51:03,3.52
14:51:04,1.13
14:51:05,1.76
14:51:06,1.77
14:51:07,1.38
14:51:08,3.63
14:51:09,1.64
14:51:10,2.14
14:51:11,1.51
14:51:12,1.38
14:51:13,3.38
14:51:14,2.62
14:51:15,2.76
14:51:16,1.13
14:51:17,1.76
14:51:18,1.39
14:51:19,2.65
14:51:20,1.64
14:51:21,10.93
14:51:22,1.64
14:51:23,1.75
14:51:24,4.14
14:51:25,3.75
14:51:26,1.26
14:51:27,2.02
14:51:28,1.26
14:51:29,3.63
14:51:30,1.51
14:51:31,1.63
14:51:32,1.13
14:51:33,2.01
14:51:34,3.4
14:51:35,1.75
14:51:36,1.88
14:51:37,3.38
14:51:38,1.39
14:51:39,6.66
14:51:40,1.13
14:51:41,2.01
14:51:42,1.63
14:51:43,1.01
14:51:44,3.27
14:51:45,1.76
14:51:46,1.13
14:51:47,1.01
14:51:48,2.75
14:51:49,2.65
14:51:50,1.13
14:51:51,1.76
14:51:52,1.38
14:51:53,1.38
14:51:54,3.15
14:51:55,2.38
14:51:56,1.39
14:51:57,1.64
14:51:58,1.38
14:51:59,3.02
14:52:00,2.64
14:52:01,1.13
14:52:02,1.77
14:52:03,1.76
14:52:04,1.63
14:52:05,3.39
14:52:06,1.89
14:52:07,1.01
14:52:08,1.13
14:52:09,2.26
