time,CPU
19:23:13,1.01
19:23:14,1.26
19:23:15,25.0
19:23:16,26.5
19:23:17,27.17
19:23:18,8.66
19:23:19,34.09
19:23:20,37.25
19:23:21,15.86
19:23:22,2.65
19:23:23,29.4
19:23:24,27.06
19:23:25,2.38
19:23:26,28.48
19:23:27,27.12
19:23:28,1.76
19:23:29,30.46
19:23:30,23.56
19:23:31,1.76
19:23:32,30.03
19:23:33,23.9
19:23:34,1.38
19:23:35,28.57
19:23:36,27.38
19:23:37,4.27
19:23:38,29.27
19:23:39,26.1
19:23:40,2.5
19:23:41,29.06
19:23:42,26.69
19:23:43,2.14
19:23:44,28.79
19:23:45,25.62
19:23:46,2.26
19:23:47,31.65
19:23:48,21.82
19:23:49,1.88
19:23:50,29.09
19:23:51,25.41
19:23:52,3.65
19:23:53,30.2
19:23:54,23.62
19:23:55,2.13
19:23:56,30.04
19:23:57,25.65
19:23:58,0.88
19:23:59,30.28
19:24:00,22.96
19:24:01,2.13
19:24:02,29.88
19:24:03,27.65
19:24:04,2.14
19:24:05,30.75
19:24:06,22.14
19:24:07,1.51
19:24:08,30.45
19:24:09,25.72
19:24:10,20.03
19:24:11,46.19
19:24:12,50.75
19:24:13,24.49
19:24:14,18.42
19:24:15,17.85
19:24:16,17.97
19:24:17,18.23
19:24:18,19.67
19:24:19,18.06
19:24:20,17.92
19:24:21,16.2
19:24:22,13.4
19:24:23,19.47
19:24:24,13.71
19:24:25,14.07
19:24:26,13.44
19:24:27,14.04
19:24:28,15.52
19:24:29,13.48
19:24:30,14.29
19:24:31,13.57
19:24:32,14.18
19:24:33,15.77
19:24:34,13.43
19:24:35,13.33
19:24:36,14.07
19:24:37,13.78
19:24:38,15.77
19:24:39,14.48
19:24:40,13.32
19:24:41,13.66
19:24:42,13.93
19:24:43,14.79
19:24:44,14.5
19:24:45,13.69
19:24:46,13.62
19:24:47,13.68
19:24:48,14.46
19:24:49,15.29
19:24:50,13.82
19:24:51,13.96
19:24:52,13.46
19:24:53,13.96
19:24:54,16.04
19:24:55,13.62
19:24:56,13.88
19:24:57,14.43
19:24:58,13.22
19:24:59,15.45
19:25:00,14.66
19:25:01,13.69
19:25:02,13.33
19:25:03,14.09
19:25:04,17.57
19:25:05,13.46
19:25:06,13.91
19:25:07,13.94
19:25:08,13.52
19:25:09,14.84
19:25:10,13.3
19:25:11,13.78
