time,CPU
10:32:11,10.26
10:32:12,31.61
10:32:13,27.42
10:32:14,16.1
10:32:15,34.3
10:32:16,40.78
10:32:17,3.76
10:32:18,5.53
10:32:19,35.54
10:32:20,19.58
10:32:21,6.19
10:32:22,35.59
10:32:23,17.9
10:32:24,4.27
10:32:25,34.09
10:32:26,30.05
10:32:27,5.52
10:32:28,35.72
10:32:29,15.35
10:32:30,5.13
10:32:31,35.43
10:32:32,17.59
10:32:33,4.54
10:32:34,34.96
10:32:35,15.54
10:32:36,5.94
10:32:37,35.38
10:32:38,16.31
10:32:39,4.74
10:32:40,34.09
10:32:41,20.78
10:32:42,3.89
10:32:43,35.26
10:32:44,15.73
10:32:45,3.65
10:32:46,34.89
10:32:47,17.3
10:32:48,5.22
10:32:49,35.76
10:32:50,14.34
10:32:51,6.44
10:32:52,33.29
10:32:53,19.02
10:32:54,4.04
10:32:55,34.74
10:32:56,15.89
10:32:57,5.31
10:32:58,35.26
10:32:59,22.31
10:33:00,3.89
10:33:01,42.73
10:33:02,35.54
10:33:03,16.25
10:33:04,46.39
10:33:05,30.46
10:33:06,15.81
10:33:07,46.7
10:33:08,41.81
10:33:09,15.41
10:33:10,14.2
10:33:11,13.73
10:33:12,15.75
10:33:13,13.91
10:33:14,14.97
10:33:15,14.62
10:33:16,14.04
10:33:17,15.45
10:33:18,13.43
10:33:19,13.69
10:33:20,13.48
10:33:21,13.57
10:33:22,16.06
10:33:23,14.04
10:33:24,13.77
10:33:25,13.69
10:33:26,14.2
10:33:27,15.6
10:33:28,13.69
10:33:29,14.55
10:33:30,13.33
10:33:31,13.68
10:33:32,16.06
10:33:33,13.69
10:33:34,13.68
10:33:35,13.93
10:33:36,14.62
10:33:37,14.12
10:33:38,14.84
10:33:39,13.55
10:33:40,13.82
10:33:41,14.16
10:33:42,13.24
10:33:43,16.5
10:33:44,13.8
10:33:45,13.33
10:33:46,13.68
10:33:47,13.96
10:33:48,14.97
10:33:49,13.35
10:33:50,14.54
10:33:51,13.78
10:33:52,15.31
10:33:53,15.2
10:33:54,13.73
10:33:55,13.93
10:33:56,13.94
10:33:57,14.47
10:33:58,15.79
10:33:59,14.18
10:34:00,13.35
10:34:01,14.07
10:34:02,13.62
10:34:03,15.01
10:34:04,14.43
10:34:05,13.91
10:34:06,14.0
10:34:07,13.68
10:34:08,15.58
