time,CPU
19:43:26,31.29
19:43:27,26.62
19:43:28,24.15
19:43:29,11.79
19:43:30,34.97
19:43:31,38.33
19:43:32,4.17
19:43:33,6.29
19:43:34,34.46
19:43:35,21.12
19:43:36,5.53
19:43:37,36.1
19:43:38,17.38
19:43:39,6.02
19:43:40,36.28
19:43:41,13.69
19:43:42,5.64
19:43:43,37.42
19:43:44,12.8
19:43:45,6.23
19:43:46,35.09
19:43:47,14.39
19:43:48,6.81
19:43:49,34.33
19:43:50,17.88
19:43:51,5.3
19:43:52,34.97
19:43:53,18.8
19:43:54,4.79
19:43:55,36.33
19:43:56,16.1
19:43:57,4.3
19:43:58,35.34
19:43:59,18.43
19:44:00,5.0
19:44:01,34.74
19:44:02,16.38
19:44:03,6.93
19:44:04,33.25
19:44:05,19.18
19:44:06,5.4
19:44:07,36.03
19:44:08,15.43
19:44:09,5.28
19:44:10,36.11
19:44:11,12.58
19:44:12,5.01
19:44:13,36.25
19:44:14,17.0
19:44:15,7.4
19:44:16,52.06
19:44:17,28.59
19:44:18,18.09
19:44:19,48.14
19:44:20,26.16
19:44:21,16.83
19:44:22,47.74
19:44:23,43.21
19:44:24,14.32
19:44:25,13.24
19:44:26,13.44
19:44:27,13.96
19:44:28,13.55
19:44:29,15.24
19:44:30,14.21
19:44:31,13.57
19:44:32,13.46
19:44:33,13.94
19:44:34,15.16
19:44:35,13.68
19:44:36,13.57
19:44:37,14.39
19:44:38,13.8
19:44:39,15.66
19:44:40,13.66
19:44:41,14.66
19:44:42,13.58
19:44:43,13.68
19:44:44,15.85
19:44:45,14.02
19:44:46,13.21
19:44:47,13.68
19:44:48,14.16
19:44:49,14.77
19:44:50,13.57
19:44:51,14.79
19:44:52,13.33
19:44:53,14.57
19:44:54,15.33
19:44:55,14.52
19:44:56,14.14
19:44:57,13.6
19:44:58,13.94
19:44:59,15.58
19:45:00,14.62
19:45:01,13.35
19:45:02,13.91
19:45:03,13.91
19:45:04,15.35
19:45:05,14.41
19:45:06,14.04
19:45:07,13.66
19:45:08,13.44
19:45:09,15.33
19:45:10,13.58
19:45:11,13.77
19:45:12,14.5
19:45:13,13.46
19:45:14,13.89
19:45:15,15.66
19:45:16,15.93
19:45:17,14.11
19:45:18,13.58
19:45:19,17.46
19:45:20,14.91
19:45:21,13.8
19:45:22,13.64
19:45:23,14.14
19:45:24,13.71
19:45:25,15.64
19:45:26,14.41
19:45:27,13.37
19:45:28,13.55
19:45:29,13.48
19:45:30,16.6
19:45:31,13.57
